name,aliases,dosage_forms,typical_dosage,commonly_used_for,warnings,category,key_warning
Pantoprazole,"Pantodac,Pan,Pantop,Pan-D",Tablet,40mg once daily before breakfast,"Acidity, GERD, and stomach ulcers",Take before meals. Long-term use may affect bone density and magnesium levels.,acidity,consult_doctor
Metronidazole,"Flagyl,Metrogyl,Aristogyl",Tablet/Gel/Suspension,400mg–500mg three times daily for 5–7 days,"Bacterial and parasitic infections (gut, dental, skin)",Avoid alcohol during treatment and for 48 hours after. May cause metallic taste.,antibiotic,avoid_alcohol
Doxycycline,"Doxt,Biodoxi,Vibramycin",Capsule/Tablet,100mg once or twice daily,"Bacterial infections, acne, malaria prevention",Take with a full glass of water. Avoid lying down for 30 minutes after. Increases sun sensitivity.,antibiotic,sun_sensitivity
Prednisolone,"Wysolone,Omnacortil",Tablet,As directed by doctor (dose varies widely),"Inflammation, allergies, asthma, autoimmune conditions",Do not stop suddenly — taper as directed. May raise blood sugar and blood pressure. Take with food.,allergy,take_with_food
Salbutamol,"Ventolin,Asthalin,Albuterol",Inhaler/Syrup,1–2 puffs (100mcg each) as needed,Asthma and breathing difficulty (bronchospasm),Shake inhaler before use. Rinse mouth after inhaled doses. Overuse may cause tremor and fast heartbeat.,respiratory,consult_doctor
Glimepiride,"Amaryl,Glimi,Glimy",Tablet,1mg–4mg once daily with breakfast,Type 2 diabetes (to stimulate insulin release),Take with food. Watch for signs of low blood sugar. Avoid skipping meals.,diabetes,take_with_food
Clopidogrel,"Plavix,Clopilet,Deplatt",Tablet,75mg once daily,Prevention of heart attack and stroke (blood thinner),Inform all doctors before surgery. Do not stop without consulting your doctor. May increase bleeding risk.,general,do_not_stop_suddenly
Levothyroxine,"Eltroxin,Thyronorm",Tablet,25mcg–200mcg once daily on an empty stomach,Hypothyroidism (underactive thyroid),"Take 30–60 minutes before breakfast. Do not take with calcium, iron, or antacids. Regular blood tests needed.",thyroid,consult_doctor
Ciprofloxacin,"Cipro,Ciplox,Cifran",Tablet/Eye drops,250mg–500mg twice daily for 5–14 days,"Urinary tract, respiratory, skin, and eye infections",Take with plenty of water. Avoid antacids within 2 hours. May cause tendon problems in elderly.,antibiotic,consult_doctor
Ranitidine,"Zantac,Rantac,Aciloc",Tablet/Syrup,150mg twice daily or 300mg at night,"Acidity, GERD, and stomach ulcers",Take as directed. May interact with other medicines. Some formulations withdrawn in certain countries — check availability.,acidity,consult_doctor
Diclofenac,"Voveran,Voltaren",Tablet/Gel/Injection,50mg two to three times daily with food,"Pain and inflammation (muscle, joint, arthritis)","Take with food. Avoid in heart, kidney, or stomach ulcer conditions.",pain_relief,take_with_food
Aspirin,"Disprin,Ecosprin,Loprin",Tablet,75mg–325mg once daily (dose depends on use),"Pain relief, fever, and blood thinning (low dose)",Avoid in children with viral infections (Reye's syndrome risk). Take with food. Increases bleeding risk.,pain_relief,take_with_food
Combiflam,Ibuprofen Paracetamol Combo,Tablet,1 tablet up to 3 times daily after food,Pain and inflammation relief,Take after food. Avoid prolonged use without medical advice.,pain_relief,take_with_food
Norfloxacin,"Norflox,Uroflox",Tablet,400mg twice daily for 3–7 days,Urinary and intestinal bacterial infections,Take on an empty stomach. Avoid antacids within 2 hours. Increases sun sensitivity.,antibiotic,sun_sensitivity
Digene,Antacid Combination,Tablet/Gel,1–2 tablets or 10ml as needed after meals,"Indigestion, acidity, and heartburn",Do not take with other medicines within 2 hours. Avoid frequent long-term use without advice.,acidity,consult_doctor
Fexofenadine,"Allegra,Fexova",Tablet,120mg–180mg once daily,Allergy relief (less drowsy than older antihistamines),Avoid taking with fruit juices (may reduce absorption). Generally non-drowsy but individual response varies.,allergy,consult_doctor
Levocetirizine,"Levocet,Xyzal",Tablet/Syrup,5mg once daily,"Allergy relief (rhinitis, hives)",May cause mild drowsiness in some people. Avoid alcohol.,allergy,drowsiness
Pheniramine,Avil,Tablet/Injection,25mg two to three times daily,"Allergy relief, motion sickness",Causes significant drowsiness. Avoid driving or operating machinery.,allergy,drowsiness
Ondansetron,"Emeset,Vomikind,Zofran",Tablet,4mg–8mg as needed,Nausea and vomiting,May cause headache and constipation. Inform doctor of heart rhythm issues.,digestive_upset,consult_doctor
Domperidone,"Domstal,Vomistop",Tablet/Syrup,10mg three times daily before meals,"Nausea, vomiting, and bloating",Take before meals. Avoid in heart rhythm disorders. Limit duration of use.,digestive_upset,consult_doctor
Loperamide,"Imodium,Lopamide",Tablet,4mg initially then 2mg after each loose stool (max 16mg/day),Diarrhoea relief,Do not use if fever or blood in stool present. Stay hydrated with ORS.,digestive_upset,consult_doctor
ORS,"Electral,Oral Rehydration Salts",Oral Solution,One sachet dissolved in 1 litre water; sip through the day,"Dehydration from diarrhoea, vomiting, or heat",Use clean water to prepare. Discard prepared solution after 24 hours. Seek medical help if symptoms are severe.,digestive_upset,consult_doctor
Dicyclomine,Cyclopam,Tablet/Syrup,10mg–20mg three to four times daily,Stomach cramps and spasms,Avoid in glaucoma or urinary retention. Take before meals if advised.,general,consult_doctor
Amitriptyline,"Tryptomer,Elavil",Tablet,10mg–25mg at night (dose varies widely),"Nerve pain, migraine prevention, sometimes depression",Do not stop suddenly. May cause drowsiness and dry mouth. Avoid alcohol.,mental_health,drowsiness
Sertraline,"Zoloft,Serta,Daxid",Tablet,25mg–200mg once daily (dose varies widely),"Depression, anxiety disorders",Do not stop suddenly. Effects may take 2–4 weeks to appear. Discuss all other medicines with your doctor.,mental_health,do_not_stop_suddenly
Alprazolam,"Xanax,Alprax,Restyl",Tablet,0.25mg–0.5mg as directed,Anxiety (short-term use),Habit-forming — use only as prescribed. Avoid alcohol. Do not stop abruptly.,mental_health,avoid_alcohol
Montelukast,"Singulair,Montair,Monticope",Tablet,10mg once daily at night,Asthma and allergic rhinitis (preventive),Not for immediate asthma attack relief. Take regularly as prescribed even if feeling well.,allergy,consult_doctor
Ambroxol,"Mucosolvan,Ambrolite",Syrup/Tablet,30mg two to three times daily,"Cough with mucus, chest congestion",Drink plenty of fluids. Generally well tolerated.,respiratory,consult_doctor
Dextromethorphan,Benadryl DR,Syrup,10mg–20mg every 4 hours as needed,Dry cough suppression,Avoid combining with other cough or cold products containing the same ingredient. Avoid in children under 4.,respiratory,consult_doctor
Multivitamin,"Zincovit,Revital,Supradyn",Tablet/Capsule,1 tablet once daily,General vitamin and mineral supplementation,Do not exceed recommended dose. Consult doctor if pregnant or on other supplements.,supplement,avoid_pregnancy
Calcium Vitamin D3,"Shelcal,Calcirol,Ostocalcium",Tablet,500mg–1000mg once or twice daily,Calcium deficiency and bone health,Take with food. Avoid excess intake — may affect kidney function over time.,supplement,take_with_food
Iron Folic Acid,"Fefol,Autrin,Livogen",Tablet/Capsule,1 tablet once daily,Iron deficiency anaemia,May cause constipation and dark stools (normal). Take with vitamin C for better absorption.,supplement,consult_doctor
Biotin,"H-Vit,Biotin Forte",Tablet,5mg–10mg once daily,"Hair, skin, and nail health supplement",Generally safe. Discontinue if unusual skin reactions occur.,supplement,consult_doctor
B-Complex,"Becosules,Neurobion",Capsule/Tablet,1 capsule once daily,Vitamin deficiency and general supplementation,Generally safe. Excess long-term doses rarely may cause nerve tingling.,supplement,consult_doctor
Zinc Sulphate,Zinconia,Tablet/Syrup,20mg once daily (varies by age),"Zinc deficiency, immune support, diarrhoea recovery in children",Take with food to reduce stomach upset. Avoid exceeding recommended dose.,supplement,take_with_food
Betadine,Povidone-iodine,Solution/Ointment,Apply to affected area 2–3 times daily,Wound and skin antiseptic,For external use only. Avoid in thyroid disorders unless advised. Discontinue if irritation occurs.,skin_care,external_use_only
Volini,Diclofenac Gel Topical,Gel/Spray,Apply to affected area 3–4 times daily,Muscle and joint pain relief (topical),For external use only. Avoid broken skin. Wash hands after application.,pain_relief,external_use_only
Moov,Diclofenac Methyl Salicylate,Cream/Spray,Apply to affected area as needed,Muscle and joint pain relief (topical),For external use only. Avoid contact with eyes and broken skin.,pain_relief,external_use_only
Telmisartan,"Telma,Telsar",Tablet,20mg–80mg once daily,High blood pressure,Avoid in pregnancy. Monitor kidney function periodically. May cause dizziness initially.,high_blood_pressure,avoid_pregnancy
Ramipril,"Cardace,Ramace",Tablet,2.5mg–10mg once daily,High blood pressure and heart protection,May cause persistent dry cough. Avoid in pregnancy. Monitor kidney function.,high_blood_pressure,avoid_pregnancy
Atenolol,"Tenormin,Aten",Tablet,25mg–100mg once daily,High blood pressure and heart rhythm control,Do not stop suddenly. May cause fatigue and cold hands or feet. Avoid in asthma.,high_blood_pressure,do_not_stop_suddenly
Furosemide,"Lasix,Frusemide",Tablet/Injection,20mg–80mg once or twice daily,Fluid retention and high blood pressure,Take earlier in the day to avoid night-time urination. Monitor potassium levels.,high_blood_pressure,consult_doctor
Spironolactone,Aldactone,Tablet,25mg–100mg once daily,Fluid retention and heart failure management,Monitor potassium levels. Avoid potassium supplements unless directed.,general,consult_doctor
Glipizide,"Glynase,Minidiab",Tablet,2.5mg–20mg daily before meals,Type 2 diabetes,Take before meals. Watch for signs of low blood sugar.,diabetes,consult_doctor
Sitagliptin,"Januvia,Istavel",Tablet,100mg once daily,Type 2 diabetes,Generally well tolerated. Inform doctor of pancreas-related conditions.,diabetes,consult_doctor
Rosuvastatin,"Crestor,Rosuvas",Tablet,5mg–40mg once daily at night,High cholesterol,Report unexplained muscle pain. Avoid excess alcohol. Periodic liver function tests advised.,cholesterol,consult_doctor
Clonazepam,"Rivotril,Clonotril",Tablet,0.25mg–2mg as directed,Seizures and anxiety disorders,Habit-forming — use only as prescribed. Avoid alcohol. Do not stop abruptly.,mental_health,avoid_alcohol
Escitalopram,"Nexito,Cipralex",Tablet,5mg–20mg once daily,Depression and anxiety disorders,Do not stop suddenly. Effects may take 2–4 weeks. Avoid alcohol.,mental_health,avoid_alcohol
Diazepam,"Valium,Calmpose",Tablet/Injection,2mg–10mg as directed,"Anxiety, muscle spasm, seizures",Habit-forming — use only as prescribed. Causes drowsiness. Avoid alcohol and driving.,mental_health,drowsiness
Hydrochlorothiazide,"HCTZ,Aquazide",Tablet,12.5mg–25mg once daily,High blood pressure and fluid retention,Monitor electrolyte levels. May increase blood sugar and uric acid slightly.,high_blood_pressure,consult_doctor
Clindamycin,"Dalacin,Clindac",Capsule/Gel,150mg–450mg every 6 hours (oral) or apply twice daily (topical),Bacterial infections and acne,Complete full oral course. May cause diarrhoea — report severe or bloody diarrhoea immediately.,antibiotic,consult_doctor
Fluconazole,"Forcan,Zocon",Tablet,150mg single dose or as directed,Fungal infections including vaginal yeast infections,May interact with several other medicines — inform your doctor of all medications.,antifungal,consult_doctor
Clotrimazole,"Candid,Canesten",Cream/Powder,Apply twice daily for 2–4 weeks,Fungal skin and vaginal infections,For external use only unless prescribed otherwise. Complete the full duration even if symptoms improve.,antifungal,external_use_only
Mupirocin,"Bactroban,T-Bact",Ointment,Apply 3 times daily for 5–10 days,Bacterial skin infections,For external use only. Avoid contact with eyes.,antibiotic,external_use_only
Betamethasone,"Betnovate,Diprosone",Cream/Ointment,Apply thin layer once or twice daily,"Skin inflammation, eczema, psoriasis",Avoid prolonged use on face or thin skin. Do not use on infected skin without antibiotic cover.,skin_care,consult_doctor
Calamine Lotion,Caladryl,Lotion,Apply to affected area as needed,"Itching, mild skin irritation, sunburn",For external use only. Discontinue if irritation worsens.,allergy,external_use_only
Hydroxyzine,Atarax,Tablet/Syrup,10mg–25mg two to three times daily,Anxiety and allergic itching,Causes drowsiness. Avoid alcohol and driving.,allergy,drowsiness
Rabeprazole,"Rabium,Razo",Tablet,20mg once daily before breakfast,"Acidity, GERD, stomach ulcers",Take before meals. Long-term use may affect bone density and magnesium levels.,acidity,consult_doctor
Sucralfate,"Sucral,Sucrafil",Suspension/Tablet,1g four times daily on empty stomach,Stomach and duodenal ulcers,Take on an empty stomach at least 1 hour before meals. Avoid taking with antacids simultaneously.,acidity,empty_stomach
Simethicone,Espumisan,Tablet/Drops,40mg–125mg as needed after meals,"Gas, bloating, and flatulence",Generally very safe. No major interactions.,general,consult_doctor
Mefenamic Acid,"Meftal,Ponstan",Tablet,250mg–500mg three times daily after food,Pain relief especially menstrual cramps,Take after food. Avoid in stomach ulcer or kidney disease.,pain_relief,take_with_food
Tranexamic Acid,"Pause,Tranexa",Tablet,500mg–1g two to three times daily,Heavy menstrual bleeding and controlling bleeding,Avoid in history of blood clots unless directed by doctor.,general,consult_doctor
Folic Acid,Folvite,Tablet,5mg once daily (or as directed in pregnancy),Folate deficiency and pregnancy supplementation,Generally very safe. Important during pregnancy for neural tube development.,supplement,avoid_pregnancy
Vitamin D3,"Calcirol,D-Rise,Uprise D3",Sachet/Capsule,60000 IU weekly or monthly (as directed),Vitamin D deficiency,Take as directed by blood test results. Avoid excess unsupervised intake.,supplement,consult_doctor
Methylcobalamin,"Nurokind,Methycobal",Tablet/Injection,500mcg–1500mcg daily or as directed,Vitamin B12 deficiency and nerve health,Generally very safe. Long-term deficiency needs monitoring even after starting treatment.,supplement,consult_doctor
Ivermectin,"Ivecop,Scabo",Tablet/Cream,Dose based on body weight (single or repeat dose as directed),Scabies and certain parasitic infections,Take on empty stomach as directed. Avoid in pregnancy unless directed.,antibiotic,avoid_pregnancy
Permethrin,"Permite,Scabimite",Cream/Lotion,"Apply to entire body, wash off after 8–14 hours",Scabies and lice treatment,Follow application instructions exactly. Avoid contact with eyes and mouth.,general,consult_doctor
Chlorhexidine,"Hexidine,Clohex",Mouthwash,Rinse twice daily for 30 seconds,"Gum disease, mouth ulcers, dental infections",Do not swallow. May cause temporary staining of teeth with prolonged use.,antibiotic,consult_doctor
Benzoyl Peroxide,"Persol,Benzac",Gel/Face Wash,Apply once or twice daily,Acne,May cause dryness and mild irritation initially. Avoid sun exposure without sunscreen.,skin_care,sun_sensitivity
Adapalene,"Differin,Deriva",Gel,Apply once daily at night,Acne,May cause initial dryness and peeling. Use sunscreen during the day.,skin_care,sun_sensitivity
Loratadine,"Claritin,Lorfast",Tablet/Syrup,10mg once daily,Allergy relief (non-drowsy),Generally non-drowsy. Avoid exceeding recommended dose.,allergy,consult_doctor
Chlorpheniramine,Piriton,Tablet/Syrup,4mg every 4–6 hours as needed,Allergy and cold symptom relief,Causes drowsiness. Avoid alcohol and driving.,allergy,drowsiness
Terbutaline,Bricanyl,Tablet/Inhaler/Syrup,2.5mg–5mg two to three times daily (oral),Asthma and bronchospasm,May cause tremor and rapid heartbeat. Use as directed.,respiratory,consult_doctor
Budesonide,"Pulmicort,Budecort",Inhaler,As directed (varies by strength and condition),Asthma prevention (long-term control),Rinse mouth after use to prevent oral thrush. Not for immediate attack relief.,respiratory,consult_doctor
Ipratropium,Ipravent,Inhaler,2 puffs three to four times daily,COPD and asthma (bronchodilator),"Avoid spraying near eyes. Effects are gradual, not for sudden attacks.",respiratory,consult_doctor
Naproxen,"Naprosyn,Napro",Tablet,250mg–500mg twice daily with food,"Pain and inflammation (arthritis, muscle pain)",Take with food. Avoid in kidney disease or stomach ulcer history.,pain_relief,take_with_food
Etoricoxib,"Etoshine,Nucoxia",Tablet,60mg–120mg once daily,Pain and inflammation (arthritis),Avoid in heart disease. Take with food if stomach upset occurs.,pain_relief,take_with_food
Tramadol,Tramazac,Tablet,50mg–100mg every 6 hours as needed,Moderate to severe pain,Habit-forming with prolonged use. May cause drowsiness and nausea. Avoid alcohol.,pain_relief,drowsiness
